country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,year,date_mdy,region,historical_context
Afghanistan,19-08-1919,Tuesday,19.0,Aug,Afghan Independence Day (Afghan Victory Day),August 19,1919.0,United Kingdom,1919.0,"August 19, 1919",Asia,Modern Era
Albania,28-11-1912,Thursday,28.0,Nov,Flag Day (Dita e Flamurit),November 28,1912.0,Ottoman Empire,1912.0,"November 28, 1912",Europe,Modern Era
Algeria,05-07-1962,Thursday,5.0,Jul,Independence Day,July 5,1962.0,France,1962.0,"July 5, 1962",Africa,Modern Era
Angola,11-11-1975,Tuesday,11.0,Nov,Independence Day,November 11,1975.0,Portugal,1975.0,"November 11, 1975",Africa,Modern Era
Antigua and Barbuda,01-11-1981,Sunday,1.0,Nov,Independence Day,November 1,1981.0,United Kingdom,1981.0,"November 1, 1981",North America,Modern Era
Argentina,09-07-1816,Tuesday,9.0,Jul,Independence Day,July 9,1816.0,Spanish Empire,1816.0,"July 9, 1816",South America,Modern Era
Armenia,28-05-1918,Tuesday,28.0,May,Republic Day,May 28,1918.0,Russian Soviet Federative Socialist Republic,1918.0,"May 28, 1918",Asia,Modern Era
Armenia,21-09-1991,Saturday,21.0,Sep,Independence Day,September 21,1991.0,Soviet Union,1991.0,"September 21, 1991",Asia,Modern Era
Austria,26-10-1955,Wednesday,26.0,Oct,National Day,October 26,1955.0,"Allied occupying powers (France, United Kingdom, United States and Soviet Union)",1955.0,"October 26, 1955",Europe,Modern Era
Azerbaijan,28-05-1918,Tuesday,28.0,May,Republic Day,May 28,1918.0,Russian Soviet Federative Socialist Republic,1918.0,"May 28, 1918",Asia,Modern Era
Azerbaijan,18-10-1991,Friday,18.0,Oct,Independence Day,October 18,1991.0,Soviet Union,1991.0,"October 18, 1991",Asia,Modern Era
"Bahamas, The",10-07-1973,Tuesday,10.0,Jul,Independence Day,July 10,1973.0,United Kingdom,1973.0,"July 10, 1973",North America,Modern Era
Bahrain,16-12-1971,Thursday,16.0,Dec,Independence Day,December 16,1971.0,United Kingdom,1971.0,"December 16, 1971",Asia,Modern Era
Bangladesh,26-03-1971,Friday,26.0,Mar,Independence Day,March 26,1971.0,Pakistan,1971.0,"March 26, 1971",Asia,Modern Era
Barbados,30-11-1966,Wednesday,30.0,Nov,Independence Day,November 30,1966.0,United Kingdom,1966.0,"November 30, 1966",North America,Modern Era
Belarus,03-07-1944,Monday,3.0,Jul,Independence Day,July 3,1944.0,Nazi Germany,1944.0,"July 3, 1944",Europe,Modern Era
Belgium,21-07-1831,Thursday,21.0,Jul,National Day,July 21,1831.0,United Netherlands,1831.0,"July 21, 1831",Europe,Modern Era
Belize,21-09-1981,Monday,21.0,Sep,Independence Day,September 21,1981.0,United Kingdom,1981.0,"September 21, 1981",North America,Modern Era
Benin,01-08-1960,Monday,1.0,Aug,Independence Day,August 1,1960.0,France,1960.0,"August 1, 1960",Africa,Modern Era
Bolivia,06-08-1825,Saturday,6.0,Aug,Independence Day,August 6,1825.0,Spain,1825.0,"August 6, 1825",South America,Modern Era
Bosnia and Herzegovina,01-03-1992,Sunday,1.0,Mar,Independence Day,March 1,1992.0,Socialist Federal Republic of Yugoslavia,1992.0,"March 1, 1992",Europe,Modern Era
Botswana,30-09-1966,Friday,30.0,Sep,Independence Day,September 30,1966.0,United Kingdom,1966.0,"September 30, 1966",Africa,Modern Era
Brazil,07-09-1822,Saturday,7.0,Sep,Independence Day (Dia da Independência),September 7,1822.0,"United Kingdom of Portugal, Brazil and the Algarves",1822.0,"September 7, 1822",South America,Modern Era
Brunei,23-02-1984,Thursday,23.0,Feb,National Day,February 23,1984.0,United Kingdom,1984.0,"February 23, 1984",Asia,Modern Era
Bulgaria,03-03-1878,Sunday,3.0,Mar,Liberation Day,March 3,1878.0,Ottoman Empire,1878.0,"March 3, 1878",Europe,Modern Era
Bulgaria,05-10-1908,Monday,5.0,Oct,Independence Day,October 5,1908.0,Ottoman Empire,1908.0,"October 5, 1908",Europe,Modern Era
